,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Natural gas production (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World Energy & Climate Statistics – Yearbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2022 - 2023 (%) ,2000 - 2023 (%/year) ,,,
,World,"2,083","2,129","2,125","2,187","2,216","2,272","2,363","2,365","2,396","2,470","2,564","2,602","2,659","2,764","2,850","2,924","3,021","3,084","3,204","3,115","3,334","3,452","3,513","3,566","3,619","3,663","3,748","3,900","4,028","4,253","4,155","4,343","4,338","4,366",0.7,2.3,,,
,OECD,900,920,941,979,"1,019","1,032","1,088","1,090","1,100","1,108","1,137","1,161","1,151","1,156","1,149","1,134","1,150","1,158","1,193","1,183","1,209","1,233","1,262","1,275","1,314","1,346","1,362","1,407","1,494","1,606","1,593","1,619","1,698","1,739",2.4,1.9,,,
,G7,718,727,744,775,815,823,850,856,866,876,897,911,889,891,863,843,846,854,863,850,857,890,914,917,973,"1,014","1,022","1,046","1,126","1,232","1,212","1,241","1,299","1,348",3.8,1.8,,,
,BRICS,662,667,670,651,645,639,649,623,647,653,648,650,662,689,708,725,746,752,783,732,826,848,834,859,847,842,868,938,973,"1,035","1,002","1,102","1,027","1,007",-1.9,1.9,,,
,Europe,242,256,257,270,271,281,317,310,309,316,324,328,336,337,346,334,326,313,328,310,320,294,296,288,270,263,262,263,249,232,215,206,216,196,-9.3,-2.2,,,
,European Union,164,171,169,173,168,170,182,168,161,154,150,153,151,145,158,148,148,141,148,139,148,139,134,135,117,98,96,89,79,70,56,51,47,37,-20.0,-5.9,,,
,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,7.9,,,
,Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,0.0,,,
,Denmark,3,4,4,5,5,5,6,8,8,8,8,8,8,8,9,10,10,9,10,8,8,7,6,5,5,5,5,5,4,3,1,2,1,1,-0.7,-7.2,,,
,France,3,3,3,3,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-10.9,-18.4,,,
,Germany,19,19,19,19,20,21,23,22,22,23,22,22,22,22,20,20,20,20,18,18,15,15,13,12,9,9,9,8,7,6,6,5,5,4,-10.7,-6.7,,,
,Italy,17,17,18,20,21,20,20,19,19,17,17,15,15,14,13,12,11,10,9,8,8,8,9,8,7,7,6,6,5,5,4,3,3,3,-10.2,-7.5,,,
,Netherlands,76,86,86,88,84,85,96,85,81,76,74,78,76,73,86,78,77,74,85,79,90,83,82,87,72,55,53,46,39,33,24,22,18,12,-34.2,-7.6,,,
,Poland,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,-29.6,-1.3,,,
,Portugal,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-,-,,,
,Romania,28,25,22,21,19,18,17,15,14,14,14,14,13,13,13,12,12,12,11,11,11,11,11,11,11,11,10,11,10,10,9,9,9,9,1.5,-1.7,,,
,Spain,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,-6.7,,,
,Sweden,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-,-,,,
,United Kingdom,50,56,57,67,71,78,93,95,99,109,119,117,114,113,106,97,88,79,77,64,61,49,41,39,39,43,44,44,43,42,42,35,41,36,-10.5,-5.0,,,
,Norway,28,27,29,29,31,31,41,47,48,51,53,58,69,77,81,87,89,92,102,106,110,106,119,113,113,121,121,129,126,119,116,119,128,121,-5.6,3.6,,,
,Turkiye,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,113.4,1.0,,,
,CIS,800,798,767,754,711,703,709,664,683,696,714,715,733,767,790,807,824,835,864,757,839,880,869,890,858,848,866,925,952,995,933,"1,016",929,881,-5.2,0.9,,,
,Azerbaijan,10,9,8,7,6,7,6,6,6,6,6,5,5,5,5,6,7,11,17,17,17,17,18,18,19,20,19,19,20,25,27,33,36,37,4.2,8.5,,,
,Kazakhstan,7,8,7,6,4,5,6,7,7,9,11,11,13,15,20,23,24,27,30,33,35,37,37,34,34,29,33,38,41,35,32,28,29,32,9.5,4.9,,,
,Russia,629,632,633,611,600,588,594,564,584,584,576,574,587,612,624,631,644,639,655,586,661,677,662,679,650,642,659,711,730,773,726,799,707,669,-5.5,0.6,,,
,Uzbekistan,41,42,43,45,46,48,49,51,55,55,56,57,58,60,62,62,65,67,70,61,60,63,63,60,54,54,56,56,55,54,45,53,51,46,-9.6,-0.8,,,
,America,713,718,720,750,792,801,825,837,845,849,875,895,886,905,901,895,923,942,961,960,983,"1,032","1,069","1,078","1,136","1,170","1,171","1,190","1,274","1,380","1,345","1,384","1,444","1,500",3.9,2.4,,,
,North America,622,624,639,658,693,693,705,710,717,717,730,749,729,734,716,707,720,737,752,753,766,812,844,853,912,951,958,983,"1,066","1,175","1,156","1,193","1,245","1,300",4.4,2.5,,,
,Canada,108,115,126,139,152,159,166,169,174,177,182,186,188,185,185,189,190,185,176,164,158,160,159,161,168,170,189,196,202,194,190,197,210,216,2.8,0.7,,,
,United States,513,509,514,519,540,533,539,541,543,540,548,562,542,549,532,517,530,552,576,589,607,652,685,692,743,781,769,787,864,981,966,996,"1,035","1,084",4.7,3.0,,,
,Latin America,91,94,81,92,99,108,121,127,128,133,145,146,156,171,185,188,203,205,208,208,217,220,225,225,224,219,212,207,208,205,190,191,199,201,0.7,1.4,,,
,Argentina,21,23,24,20,20,26,29,31,33,39,41,41,39,44,50,49,49,48,48,46,43,43,42,38,38,40,41,41,43,45,42,42,44,42,-4.8,0.1,,,
,Brazil,4,4,4,5,5,5,6,6,7,7,7,8,10,10,11,11,11,11,14,12,15,16,19,21,22,23,23,26,25,25,23,27,27,30,8.6,6.2,,,
,Chile,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,-0.4,-1.6,,,
,Colombia,4,5,4,5,5,4,5,7,7,6,7,7,7,7,7,7,8,8,9,12,13,13,14,14,14,13,12,12,13,13,12,12,12,13,3.7,2.8,,,
,Mexico,28,28,27,30,31,30,34,35,38,38,42,42,43,45,46,48,54,54,52,54,53,52,51,50,46,43,38,33,35,34,39,39,41,43,4.2,0.1,,,
,Asia,135,148,156,169,184,205,216,229,233,252,253,256,269,292,307,328,338,346,366,391,420,420,419,438,457,454,465,477,495,515,517,550,531,549,3.5,3.4,,,
,China,16,16,16,19,22,23,25,26,29,32,34,38,32,34,41,48,57,68,79,84,95,104,110,122,140,144,152,167,183,204,224,243,258,272,5.6,9.4,,,
,India,11,13,15,14,16,21,21,25,25,28,28,28,31,31,31,32,31,32,34,49,54,49,42,36,34,32,32,33,34,31,29,34,35,37,6.1,1.1,,,
,Indonesia,52,59,61,63,71,72,76,79,77,83,71,68,75,79,75,76,75,73,74,77,86,82,78,77,76,76,75,72,73,67,69,69,67,69,2.1,-0.1,,,
,Japan,7,7,7,8,7,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,4,5,5,5,-5.9,-1.7,,,
,Malaysia,13,16,18,23,24,36,36,38,39,40,47,46,47,55,57,63,61,57,60,57,56,58,56,66,67,64,63,64,68,75,68,74,79,78,-1.5,2.2,,,
,South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0.0,-,,,
,Singapore,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-,-,,,
,Taiwan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1,-8.7,,,
,Thailand,6,7,8,9,10,10,12,15,15,17,17,18,19,19,18,20,20,21,23,28,31,27,32,35,35,32,31,29,28,30,31,30,25,25,0.2,1.8,,,
,Vietnam,0,0,0,0,0,0,0,1,1,1,2,1,2,3,6,7,7,7,8,8,10,9,10,10,10,11,11,10,10,10,9,8,8,8,-7.4,7.0,,,
,Pacific,26,27,29,31,33,35,37,37,38,40,41,42,43,41,41,42,48,51,53,56,59,63,61,71,79,88,102,126,140,163,174,168,180,181,0.8,6.6,,,
,Australia,21,22,24,26,28,31,31,31,33,34,35,36,37,36,36,38,44,47,49,51,54,58,56,66,68,71,85,108,124,144,156,150,161,162,0.8,6.9,,,
,New Zealand,5,5,5,5,5,5,5,6,5,6,6,7,6,5,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,2.1,-1.9,,,
,Africa,67,73,76,80,77,87,91,107,106,117,137,132,138,150,162,184,200,214,219,206,213,208,222,211,210,212,226,249,247,257,236,265,256,255,-0.2,2.7,,,
,Algeria,47,51,53,55,52,58,61,77,74,83,91,80,83,85,86,85,91,90,90,87,88,85,89,84,86,87,98,100,100,93,87,108,104,113,8.3,1.0,,,
,Egypt,7,8,9,10,11,14,15,13,14,17,22,23,28,32,35,52,56,60,62,62,57,58,56,50,43,38,43,52,50,70,62,71,68,60,-11.5,4.5,,,
,Nigeria,4,5,5,6,5,5,5,6,6,7,12,15,14,22,24,24,28,35,35,24,33,38,41,37,42,44,42,45,46,46,46,43,40,39,-3.2,5.0,,,
,South Africa,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0,-16.5,,,
,Middle-East,101,109,120,134,148,160,167,180,184,200,219,233,253,273,303,334,363,383,413,435,500,555,577,590,610,628,655,670,671,712,734,754,782,803,2.7,5.8,,,
,Iran,23,29,29,32,39,44,43,48,51,59,61,64,73,82,93,107,118,126,130,141,148,154,161,162,181,191,207,223,221,247,266,274,288,292,1.3,7.0,,,
,Kuwait,5,1,4,8,8,10,10,10,10,9,11,11,10,11,12,14,14,14,14,12,12,14,16,16,15,17,17,17,18,20,22,21,22,25,12.6,3.6,,,
,Saudi Arabia,34,36,39,41,44,44,46,47,48,47,51,55,59,62,67,73,75,76,83,81,90,95,102,103,105,107,114,119,124,125,126,129,136,136,0.5,4.4,,,
,United Arab Emirates,20,23,22,23,26,31,36,36,36,37,39,40,45,46,48,48,50,50,50,50,53,54,56,56,56,62,63,56,49,57,57,54,54,57,6.1,1.6,,,
,n.a. : non available ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2022 - 2023 (%) ,2000 - 2023 (%/year) ,,,
,United States ,513,509,514,519,540,533,539,541,543,540,548,562,542,549,532,517,530,552,576,589,607,652,685,692,743,781,769,787,864,981,966,996,"1,035","1,084",,,,,
